id,x0,y0,StartNode,StartTime,xf,yf,FinalNode
30733,367207.15,3713361.65,309,1314,367276.51,3713641.71,3802
30734,367197.15,3713395.16,710,1143,367276.51,3713641.71,3802
30735,367314.57,3713394.91,1722,693,367276.51,3713641.71,3802
30738,367314.57,3713394.91,1722,1288,367276.51,3713641.71,3802
30739,367207.15,3713361.65,309,764,367276.51,3713641.71,3802
30741,367314.57,3713394.91,1722,646,367276.51,3713641.71,3802
30742,367197.15,3713395.16,710,837,367276.51,3713641.71,3802
30743,367197.15,3713395.16,710,913,367276.51,3713641.71,3802
30744,367197.15,3713395.16,710,1162,367276.51,3713641.71,3802
30745,367197.15,3713395.16,710,559,367276.51,3713641.71,3802
30746,367197.15,3713395.16,710,730,367276.51,3713641.71,3802
30747,367197.15,3713395.16,710,1000,367276.51,3713641.71,3802
30748,365764.34,3713980.44,3562,989,365962.98,3713946.76,2252
30749,365663.9,3714083.46,2291,1379,365962.98,3713946.76,2252
30750,365739.97,3714075.57,2288,510,365962.98,3713946.76,2252
30752,365833.12,3713942.71,59,1113,365962.98,3713946.76,2252
30753,365734.96,3714024.05,2270,935,365962.98,3713946.76,2252
30755,365785.14,3713929.45,2246,488,365962.98,3713946.76,2252
30756,365775.97,3713978.03,3563,1253,365962.98,3713946.76,2252
30757,365600.0,3714006.79,2253,886,365122.39,3714074.92,114
30758,365721.69,3713896.07,105,603,365122.39,3714074.92,114
30759,365772.25,3714016.45,2276,670,365962.98,3713946.76,2252
30760,365657.08,3714020.23,2266,543,365962.98,3713946.76,2252
30761,365721.69,3713896.07,105,1044,365962.98,3713946.76,2252
30764,365764.34,3713980.44,3562,1458,365962.98,3713946.76,2252
30766,365657.08,3714020.23,2266,355,365962.98,3713946.76,2252
30768,365772.25,3714016.45,2276,693,365962.98,3713946.76,2252
30769,365691.68,3713893.93,3736,673,365122.39,3714074.92,114
30770,365839.36,3714002.23,60,235,365962.98,3713946.76,2252
30771,365739.97,3714075.57,2288,1348,365962.98,3713946.76,2252
30772,365764.34,3713980.44,3562,599,365962.98,3713946.76,2252
30773,365600.0,3714006.79,2253,668,365962.98,3713946.76,2252
30774,365737.35,3714052.82,2277,496,365962.98,3713946.76,2252
30775,365575.48,3714021.8,2280,674,365962.98,3713946.76,2252
